node,cpu_energy_mj,lpm_energy_mj,radio_tx_energy_mj,radio_rx_energy_mj,total_energy_mj,node_time,total_sent,total_received,bytes_tx,bytes_rx,r2n_latency,lqi,rssi,server_sent,server_received,server_bytes_rx,n2r_latency,hops,rtt_latency,root_time_now
fd00::202:2:2:2,37,0,0,410,447,20867,1,0,60,0,0,0,0,0,1,60,18446744073709551480,0,0,20731
fd00::202:2:2:2,18,0,0,204,222,31300,2,1,60,12,156,100,-83,1,3,60,18446744073709551508,0,16,31192
fd00::202:2:2:2,18,0,0,204,222,41733,3,2,60,12,190,100,-83,2,5,60,18446744073709551513,0,61,41630
fd00::202:2:2:2,18,0,2,202,222,52166,4,3,60,12,177,100,-83,3,7,60,18446744073709551513,0,44,52063
fd00::202:2:2:2,18,0,2,202,222,62599,5,4,60,12,171,100,-83,4,9,60,18446744073709551506,0,32,62489
fd00::202:2:2:2,18,0,2,202,222,73032,6,5,60,12,178,100,-83,5,11,60,18446744073709551512,0,36,72928
fd00::202:2:2:2,18,0,3,201,222,83465,7,6,60,12,180,100,-83,6,13,60,18446744073709551507,0,38,83356
fd00::202:2:2:2,18,0,3,201,222,93898,8,7,60,12,174,100,-83,7,15,60,18446744073709551505,0,24,93787
fd00::202:2:2:2,18,0,4,200,222,104331,9,8,60,12,183,100,-83,8,17,60,18446744073709551508,0,27,104223
fd00::202:2:2:2,18,0,3,201,222,114764,10,9,60,12,175,100,-83,9,19,60,18446744073709551483,0,33,114631
fd00::202:2:2:2,18,0,3,201,222,125197,11,10,60,12,180,100,-83,10,21,60,18446744073709551507,0,21,125088
fd00::202:2:2:2,18,0,3,201,222,135630,12,11,60,12,175,100,-83,11,23,60,18446744073709551486,0,25,135500
fd00::202:2:2:2,18,0,2,202,222,146063,13,12,60,12,180,100,-83,12,25,60,18446744073709551504,0,22,145951
fd00::202:2:2:2,18,0,2,202,222,156496,14,13,60,12,233,100,-83,13,27,60,18446744073709551477,0,47,156357
fd00::202:2:2:2,18,0,2,202,222,166929,15,14,60,12,175,100,-83,14,29,60,18446744073709551513,0,27,166826
fd00::202:2:2:2,18,0,2,202,222,177362,16,15,60,12,181,100,-83,15,31,60,18446744073709551540,0,29,177286
fd00::202:2:2:2,18,0,2,202,222,187795,17,16,60,12,186,100,-83,16,33,60,18446744073709551500,0,25,187679
fd00::202:2:2:2,18,0,2,202,222,198228,18,17,60,12,180,100,-83,17,35,60,18446744073709551492,0,24,198104
fd00::202:2:2:2,18,0,2,202,222,208661,19,18,60,12,174,100,-83,18,37,60,18446744073709551503,0,247,208548
fd00::202:2:2:2,18,0,2,202,222,219094,20,19,60,12,185,100,-83,19,39,60,18446744073709551493,0,32,218971
fd00::202:2:2:2,18,0,2,202,222,229527,21,20,60,12,178,100,-83,20,41,60,18446744073709551541,0,42,229452
fd00::202:2:2:2,18,0,3,202,223,239960,22,21,60,12,180,100,-83,21,43,60,18446744073709551478,0,27,239822
fd00::202:2:2:2,18,0,3,202,223,250395,23,23,60,12,188,100,-83,23,46,60,18446744073709551608,0,123,250387
fd00::202:2:2:2,18,0,3,201,222,260826,24,24,60,12,184,100,-83,24,48,60,18446744073709551497,0,67,260707
fd00::202:2:2:2,18,0,3,201,222,271259,25,25,60,12,175,100,-83,25,50,60,18446744073709551477,0,142,271120
fd00::202:2:2:2,18,0,2,202,222,281692,26,26,60,12,180,100,-83,26,52,60,18446744073709551505,0,28,281581
fd00::202:2:2:2,18,0,2,202,222,292125,27,27,60,12,180,100,-83,27,54,60,18446744073709551490,0,215,291999
fd00::202:2:2:2,18,0,2,202,222,302558,28,28,60,12,175,100,-83,28,56,60,18446744073709551486,0,31,302428
fd00::202:2:2:2,18,0,2,202,222,312991,29,29,60,12,179,100,-83,29,58,60,18446744073709551484,0,19,312859
fd00::202:2:2:2,18,0,3,201,222,323424,30,30,60,12,175,100,-83,30,60,60,18446744073709551491,0,23,323299
fd00::202:2:2:2,18,0,2,202,222,333857,31,31,60,12,180,100,-83,31,62,60,18446744073709551482,0,117,333723
fd00::202:2:2:2,18,0,2,202,222,344290,32,32,60,12,180,100,-83,32,64,60,18446744073709551517,0,38,344191
fd00::202:2:2:2,18,0,2,202,222,354723,33,33,60,12,180,100,-83,33,66,60,18446744073709551482,0,53,354589
fd00::202:2:2:2,18,0,2,202,222,365156,34,34,60,12,180,100,-83,34,68,60,18446744073709551516,0,27,365056
fd00::202:2:2:2,18,0,3,201,222,375589,35,35,60,12,183,100,-83,35,70,60,18446744073709551487,0,24,375460
fd00::202:2:2:2,18,0,2,202,222,386022,36,36,60,12,182,100,-83,36,72,60,18446744073709551517,0,79,385923
